 voltage current power speed energy distance temperature batteryOK batteryVoltage ms
2226 22.41 0.55 12.27 3.45 7863.91 1054.47 0.0 1 0.0 358484
2227 22.41 0.53 11.93 3.44 7865.34 1054.84 0.0 1 0.0 358604
2228 22.41 0.6 13.56 3.43 7867.41 1055.4 0.0 1 0.0 358757
2229 22.41 0.46 10.37 3.42 7868.66 1055.78 0.0 1 0.0 358877
2230 22.41 0.46 10.37 3.41 7869.9 1056.15 0.0 1 0.0 358997
2231 22.41 0.61 13.78 3.41 7871.55 1056.71 0.0 1 0.0 359117
2232 22.41 0.48 10.76 3.41 7872.88 1057.08 0.0 1 0.0 359240
2233 22.41 0.55 12.44 3.41 7874.37 1057.45 0.0 1 0.0 359360
2234 22.41 0.49 10.93 3.41 7875.68 1057.83 0.0 1 0.0 359480
2235 22.41 0.57 12.72 3.41 7877.21 1058.2 0.0 1 0.0 359600
2236 22.41 0.54 12.16 3.39 7878.67 1058.76 0.0 1 0.0 359720
2237 22.41 0.54 12.16 3.39 7880.12 1059.13 0.0 1 0.0 359840
2238 22.41 0.53 11.88 3.39 7881.55 1059.51 0.0 1 0.0 359960
2239 22.41 0.5 11.26 3.39 7882.9 1059.88 0.0 1 0.0 360080
2240 22.41 0.6 13.56 3.38 7884.54 1060.25 0.0 1 0.0 360200
2241 22.41 0.49 11.09 3.37 7885.9 1060.63 0.0 1 0.0 360323
2242 22.41 0.55 12.44 3.37 7887.39 1061.18 0.0 1 0.0 360443
2243 22.41 0.61 13.61 3.36 7889.04 1061.56 0.0 1 0.0 360563
2244 22.41 0.5 11.2 3.36 7890.38 1061.93 0.0 1 0.0 360683
2245 22.41 0.5 11.21 3.35 7891.72 1062.3 0.0 1 0.0 360803
2246 22.4 0.64 14.28 3.35 7893.44 1062.68 0.0 1 0.0 360923
2247 22.41 0.56 12.55 3.34 7894.94 1063.05 0.0 1 0.0 361043
2248 22.41 0.61 13.67 3.34 7896.58 1063.42 0.0 1 0.0 361163
2249 22.41 0.57 12.83 3.32 7898.12 1063.8 0.0 1 0.0 361283
2250 22.41 0.57 12.72 3.33 7899.69 1064.36 0.0 1 0.0 361406
2251 22.4 0.64 14.34 3.32 7901.41 1064.73 0.0 1 0.0 361526
2252 22.4 0.64 14.34 3.31 7903.13 1065.1 0.0 1 0.0 361646
2253 22.41 0.54 12.04 3.32 7904.74 1065.47 0.0 1 0.0 361781
2254 22.4 0.67 14.95 3.31 7906.55 1065.85 0.0 1 0.0 361901
2255 22.4 0.59 13.27 3.31 7908.13 1066.22 0.0 1 0.0 362021
2256 22.41 0.56 12.55 3.3 7909.65 1066.78 0.0 1 0.0 362141
2257 22.41 0.57 12.77 3.3 7911.17 1067.15 0.0 1 0.0 362261
2258 22.4 0.67 15.06 3.3 7913.11 1067.53 0.0 1 0.0 362390
2259 22.41 0.45 10.09 3.3 7914.32 1067.9 0.0 1 0.0 362510
2260 22.41 0.45 10.09 3.29 7915.53 1068.27 0.0 1 0.0 362630
2261 22.41 0.6 13.39 3.28 7917.38 1068.83 0.0 1 0.0 362768
2262 22.38 0.96 21.43 3.28 7919.95 1069.2 0.0 1 0.0 362888
2263 22.3 2.1 46.94 3.28 7925.59 1069.58 0.0 1 0.0 363008
2264 22.16 3.98 88.32 3.28 7936.18 1069.95 0.0 1 0.0 363128
2265 22.03 5.33 117.55 3.28 7950.29 1070.32 0.0 1 0.0 363248
2266 21.94 6.22 136.39 3.29 7966.66 1070.7 0.0 1 0.0 363368
2267 21.87 6.87 150.2 3.29 7985.13 1071.07 0.0 1 0.0 363491
2268 21.87 6.87 150.2 3.32 8003.16 1071.63 0.0 1 0.0 363611
2269 21.71 8.75 190.1 3.33 8025.97 1072.0 0.0 1 0.0 363731
2270 21.66 8.66 187.56 3.35 8048.48 1072.38 0.0 1 0.0 363851
2271 21.68 8.24 178.73 3.38 8069.92 1072.75 0.0 1 0.0 363971
2272 21.67 8.4 181.99 3.41 8091.76 1073.31 0.0 1 0.0 364091
