0.0000 45.7746 4294967295.//// 0.3400 13.7600 3.3266 -4294967295.//// 6342
0.3100 23.3421 62.7686 1.6127 16.1238 1.4477 99.9024 23426
0.3100 23.3421 62.7686 1.6127 16.1238 1.4477 99.9024 23476
0.3100 23.3421 62.7686 1.6127 16.1238 1.4477 99.9024 23526
0.3100 23.3421 62.7686 1.6127 16.1238 1.4477 99.9024 23576
0.3110 23.3421 62.5668 1.6127 16.1238 1.4477 99.9027 23626
0.3100 23.3403 62.7637 1.6110 16.1225 1.4477 99.9024 23676
0.3110 23.3403 62.5619 1.6110 16.1225 1.4477 99.9027 23726
0.3110 23.3403 62.5619 1.6110 16.1225 1.4477 99.9027 23776
0.3090 23.3465 62.9836 1.6099 16.1213 1.4482 99.9021 23826
0.3100 23.3465 62.7804 1.6099 16.1213 1.4482 99.9024 23877
0.3120 23.3465 62.3780 1.6099 16.1213 1.4482 99.9030 23927
0.3110 23.3465 62.5786 1.6099 16.1213 1.4482 99.9027 23977
0.3110 23.3465 62.5786 1.6099 16.1213 1.4482 99.9027 24027
0.3110 23.3465 62.5786 1.6099 16.1213 1.4482 99.9027 24077
0.3110 23.3447 62.5737 1.6082 16.1200 1.4482 99.9027 24127
0.3110 23.3447 62.5737 1.6082 16.1200 1.4482 99.9027 24177
0.3100 23.3447 62.7756 1.6082 16.1200 1.4482 99.9024 24227
0.3100 23.3447 62.7756 1.6082 16.1200 1.4482 99.9024 24277
0.3110 23.3447 62.5737 1.6082 16.1200 1.4482 99.9027 24327
0.3100 23.3447 62.7756 1.6082 16.1200 1.4482 99.9024 24378
0.3100 23.3447 62.7756 1.6082 16.1200 1.4482 99.9024 24428
0.3100 23.3447 62.7756 1.6082 16.1200 1.4482 99.9024 24478
