0.0000 44.7256 4294967295.//// 0.3709 13.8575 3.2275 -4294967295.//// 6342
0.0090 0.3728 34.5326 3.6416 18.7162 0.0199 99.9538 18129
0.0080 0.3728 38.8466 3.6399 18.7150 0.0199 99.9480 18179
0.0080 0.3728 38.8466 3.6399 18.7150 0.0199 99.9480 18230
0.0080 0.3728 38.8440 3.6383 18.7138 0.0199 99.9480 18280
0.0080 0.3728 38.8440 3.6383 18.7138 0.0199 99.9480 18330
0.0080 0.3728 38.8440 3.6383 18.7138 0.0199 99.9480 18380
0.0080 0.3728 38.8414 3.6366 18.7125 0.0199 99.9480 18430
0.0070 0.3728 44.3901 3.6366 18.7125 0.0199 99.9405 18480
0.0070 0.3728 44.3901 3.6366 18.7125 0.0199 99.9405 18530
0.0060 0.3634 50.4904 3.6344 18.7113 0.0194 99.9324 18580
0.0070 0.3634 43.2775 3.6344 18.7113 0.0194 99.9420 18630
0.0060 0.3634 50.4904 3.6344 18.7113 0.0194 99.9324 18680
0.0080 0.3727 38.8362 3.6333 18.7100 0.0199 99.9480 18730
0.0080 0.3727 38.8362 3.6333 18.7100 0.0199 99.9480 18781
0.0070 0.3727 44.3813 3.6316 18.7087 0.0199 99.9405 18831
0.0070 0.3727 44.3813 3.6316 18.7087 0.0199 99.9405 18881
0.0080 0.3727 38.8336 3.6316 18.7087 0.0199 99.9480 18931
0.0070 0.3633 43.2688 3.6294 18.7075 0.0194 99.9420 18981
0.0060 0.3633 50.4803 3.6294 18.7075 0.0194 99.9324 19031
0.0070 0.3633 43.2688 3.6294 18.7075 0.0194 99.9420 19081
0.0060 0.3726 51.7712 3.6283 18.7062 0.0199 99.9306 19131
0.0070 0.3726 44.3753 3.6283 18.7062 0.0199 99.9405 19181
0.0060 0.3726 51.7712 3.6283 18.7062 0.0199 99.9306 19231
0.0070 0.3726 44.3724 3.6266 18.7050 0.0199 99.9405 19281
0.0080 0.3726 38.8258 3.6266 18.7050 0.0199 99.9480 19331
0.0080 0.3726 38.8232 3.6249 18.7038 0.0199 99.9480 19382
0.0090 0.3726 34.5095 3.6249 18.7038 0.0199 99.9538 19432
0.0090 0.3726 34.5095 3.6249 18.7038 0.0199 99.9538 19482
0.0100 0.3632 30.2801 3.6228 18.7025 0.0194 99.9594 19532
0.0090 0.3632 33.6445 3.6228 18.7025 0.0194 99.9549 19582
0.0080 0.3632 37.8501 3.6228 18.7025 0.0194 99.9493 19632
0.0080 0.3818 39.7885 3.6221 18.7013 0.0204 99.9467 19682
0.0080 0.3818 39.7885 3.6221 18.7013 0.0204 99.9467 19732
