0.0000 44.1031 4294967295.//// -1.1217 13.7537 3.2066 -4294967295.//// 6342
0.0070 0.3734 0.0445 2.3433 18.7425 0.0199 99.9405 23459
0.0070 0.3734 0.0445 2.3433 18.7425 0.0199 99.9405 23509
0.0060 0.3640 0.0506 2.3411 18.7412 0.0194 99.9324 23559
0.0070 0.3640 0.0433 2.3411 18.7412 0.0194 99.9420 23609
0.0070 0.3640 0.0433 2.3411 18.7412 0.0194 99.9420 23659
0.0070 0.3733 0.0445 2.3416 18.7412 0.0199 99.9405 23709
0.0070 0.3733 0.0445 2.3416 18.7412 0.0199 99.9405 23759
0.0070 0.3733 0.0445 2.3416 18.7412 0.0199 99.9405 23809
0.0080 0.3733 0.0389 2.3399 18.7400 0.0199 99.9480 23859
0.0080 0.3733 0.0389 2.3399 18.7400 0.0199 99.9480 23909
0.0070 0.3733 0.0445 2.3383 18.7388 0.0199 99.9405 23959
0.0080 0.3733 0.0389 2.3383 18.7388 0.0199 99.9480 24009
0.0080 0.3733 0.0389 2.3383 18.7388 0.0199 99.9480 24059
0.0080 0.3733 0.0389 2.3383 18.7388 0.0199 99.9480 24109
0.0060 0.3733 0.0519 2.3383 18.7388 0.0199 99.9306 24159
0.0070 0.3733 0.0445 2.3383 18.7388 0.0199 99.9405 24209
0.0070 0.3639 0.0433 2.3378 18.7388 0.0194 99.9420 24260
0.0060 0.3639 0.0506 2.3378 18.7388 0.0194 99.9324 24310
0.0070 0.3639 0.0433 2.3378 18.7388 0.0194 99.9420 24360
0.0080 0.3733 0.0389 2.3366 18.7375 0.0199 99.9480 24410
0.0070 0.3733 0.0444 2.3366 18.7375 0.0199 99.9405 24460
